EmployeeCount,EmployeeID,Department,JobRole,Attrition,Gender,Age,MaritalStatus,Education,EducationField,BusinessTravel,JobInvolvement,JobLevel,JobSatisfaction,Hourlyrate,Income,Salaryhike,OverTime,Workex,YearsSinceLastPromotion,EmpSatisfaction,TrainingTimesLastYear,WorkLifeBalance,Performance_Rating
1,19,Research & Development,Laboratory Technician,Yes,Male,28,Single,Bachelor,Life Sciences,Travel_Rarely,Medium,1,High,50,2028,14,Yes,6,0,High,4,Better,Excellent
1,20,Research & Development,Manufacturing Director,No,Female,29,Divorced,Master,Life Sciences,Travel_Rarely,Very High,3,Low,51,9980,11,No,10,8,Medium,1,Better,Excellent
1,21,Research & Development,Research Scientist,No,Male,32,Divorced,College,Life Sciences,Travel_Rarely,Very High,1,Medium,80,3298,12,Yes,7,0,Low,5,Good,Excellent
1,22,Research & Development,Laboratory Technician,No,Male,22,Divorced,College,Medical,Non-Travel,Very High,1,Very High,96,2935,13,Yes,1,0,Very High,2,Good,Excellent
1,23,Sales,Manager,No,Female,53,Married,Master,Life Sciences,Travel_Rarely,Medium,4,Very High,78,15427,16,No,31,3,Low,3,Better,Excellent
1,24,Research & Development,Research Scientist,No,Male,38,Single,Bachelor,Life Sciences,Travel_Rarely,High,1,Very High,45,3944,11,Yes,6,1,Very High,3,Better,Excellent
1,26,Research & Development,Manufacturing Director,No,Female,24,Divorced,College,Other,Non-Travel,Very High,2,High,96,4011,18,No,5,1,Low,5,Good,Excellent
1,27,Sales,Sales Representative,Yes,Male,36,Single,Master,Life Sciences,Travel_Rarely,Medium,1,Low,82,3407,23,No,10,0,High,4,Better,Outstanding
1,28,Research & Development,Research Director,No,Female,34,Single,Master,Life Sciences,Travel_Rarely,High,3,Medium,53,11994,11,No,13,2,Low,4,Better,Excellent
1,30,Research & Development,Research Scientist,No,Male,21,Single,College,Life Sciences,Travel_Rarely,High,1,Very High,96,1232,14,No,0,0,High,6,Better,Excellent
1,31,Research & Development,Research Scientist,Yes,Male,34,Single,Below College,Medical,Travel_Rarely,High,1,Low,83,2960,11,No,8,1,Medium,2,Better,Excellent
1,32,Research & Development,Manager,No,Female,53,Divorced,Bachelor,Other,Travel_Rarely,High,5,High,58,19094,11,No,26,4,High,3,Good,Excellent
1,33,Research & Development,Research Scientist,Yes,Female,32,Single,Below College,Life Sciences,Travel_Frequently,Low,1,Low,72,3919,22,Yes,10,6,Medium,5,Better,Outstanding
1,35,Sales,Sales Executive,No,Male,42,Married,Master,Marketing,Travel_Rarely,High,2,Medium,48,6825,11,No,10,4,High,2,Better,Excellent
1,36,Research & Development,Healthcare Representative,No,Female,44,Married,Master,Medical,Travel_Rarely,Medium,3,Very High,42,10248,14,No,24,5,Low,4,Better,Excellent
1,38,Sales,Manager,No,Female,46,Single,Master,Marketing,Travel_Rarely,High,5,Low,83,18947,12,No,22,2,Medium,2,Good,Excellent
1,39,Research & Development,Laboratory Technician,No,Male,33,Single,Bachelor,Medical,Travel_Rarely,High,1,Very High,78,2496,11,No,7,0,High,3,Better,Excellent
1,40,Research & Development,Healthcare Representative,No,Male,44,Married,Master,Other,Travel_Rarely,High,2,Very High,41,6465,13,Yes,9,1,Very High,5,Best,Excellent
1,41,Research & Development,Laboratory Technician,No,Male,30,Single,College,Medical,Travel_Rarely,Medium,1,High,83,2206,13,No,10,1,Very High,5,Better,Excellent
1,42,Sales,Sales Representative,Yes,Male,39,Married,Bachelor,Technical Degree,Travel_Rarely,High,2,Very High,56,2086,14,No,19,0,Very High,6,Best,Excellent
1,45,Research & Development,Research Scientist,Yes,Male,24,Married,Bachelor,Medical,Travel_Rarely,High,1,Very High,61,2293,16,Yes,6,2,Medium,2,Good,Excellent
1,46,Research & Development,Research Scientist,No,Female,43,Divorced,College,Medical,Travel_Rarely,Very High,1,High,72,2645,12,No,6,1,Very High,3,Good,Excellent
1,47,Sales,Sales Representative,Yes,Male,50,Married,College,Marketing,Travel_Rarely,Medium,1,High,86,2683,14,Yes,3,0,Low,2,Better,Excellent
1,49,Sales,Sales Representative,No,Female,35,Married,Bachelor,Marketing,Travel_Rarely,High,1,Very High,97,2014,13,No,2,2,Very High,3,Better,Excellent
1,51,Research & Development,Research Scientist,No,Female,36,Married,Master,Life Sciences,Travel_Rarely,Medium,1,Low,82,3419,14,Yes,6,0,Medium,3,Best,Excellent
1,52,Sales,Sales Executive,No,Female,33,Married,Bachelor,Life Sciences,Travel_Frequently,Very High,2,Low,42,5376,19,No,10,1,High,3,Better,Excellent
1,53,Research & Development,Laboratory Technician,No,Male,35,Divorced,College,Other,Travel_Rarely,High,1,Very High,75,1951,12,No,1,0,High,3,Better,Excellent
1,54,Research & Development,Laboratory Technician,No,Female,27,Divorced,Master,Life Sciences,Travel_Rarely,High,1,Low,33,2341,13,No,1,0,Very High,6,Better,Excellent
1,55,Research & Development,Laboratory Technician,Yes,Male,26,Single,Bachelor,Life Sciences,Travel_Rarely,Low,1,High,48,2293,12,No,1,0,Low,2,Good,Excellent
1,56,Sales,Sales Executive,No,Male,27,Single,Bachelor,Life Sciences,Travel_Frequently,High,3,High,37,8726,15,No,9,1,Very High,0,Better,Excellent
1,57,Research & Development,Laboratory Technician,No,Female,30,Single,College,Medical,Travel_Frequently,High,2,Very High,58,4011,23,No,12,3,High,2,Better,Outstanding
1,58,Research & Development,Research Director,Yes,Female,41,Married,Bachelor,Technical Degree,Travel_Rarely,High,5,High,49,19545,12,No,23,15,Medium,0,Better,Excellent
1,60,Sales,Sales Executive,No,Male,34,Single,Master,Marketing,Non-Travel,High,2,High,72,4568,20,No,10,8,Medium,2,Better,Outstanding
1,61,Research & Development,Research Scientist,No,Male,37,Married,College,Life Sciences,Travel_Rarely,High,1,Medium,73,3022,21,No,8,0,Medium,1,Better,Outstanding
1,62,Sales,Sales Executive,No,Male,46,Single,Master,Marketing,Travel_Frequently,High,2,Very High,98,5772,21,Yes,14,0,Low,4,Better,Outstanding
1,63,Research & Development,Laboratory Technician,No,Male,35,Married,Below College,Life Sciences,Travel_Rarely,Very High,1,Very High,36,2269,19,No,1,0,Very High,2,Better,Excellent
1,64,Research & Development,Laboratory Technician,Yes,Male,48,Single,College,Life Sciences,Travel_Rarely,Medium,3,High,98,5381,13,Yes,23,0,Low,2,Better,Excellent
1,65,Research & Development,Laboratory Technician,Yes,Male,28,Single,Master,Technical Degree,Travel_Rarely,High,1,High,50,3441,13,Yes,2,2,High,3,Good,Excellent
1,68,Sales,Sales Executive,No,Female,44,Divorced,Doctor,Marketing,Travel_Rarely,High,2,Low,75,5454,21,Yes,9,1,Medium,2,Good,Outstanding
1,70,Research & Development,Healthcare Representative,No,Male,35,Married,College,Medical,Non-Travel,Medium,3,Low,79,9884,13,Yes,10,2,High,3,Better,Excellent
1,72,Sales,Sales Executive,No,Female,26,Married,Bachelor,Marketing,Travel_Rarely,Medium,2,Very High,47,4157,19,Yes,5,0,High,2,Good,Excellent
1,73,Research & Development,Research Director,No,Female,33,Single,College,Life Sciences,Travel_Frequently,High,3,Very High,98,13458,12,Yes,15,8,Low,1,Better,Excellent
1,74,Sales,Sales Executive,No,Male,35,Married,Doctor,Life Sciences,Travel_Frequently,High,3,Low,71,9069,22,No,9,1,Medium,3,Good,Outstanding
1,75,Research & Development,Laboratory Technician,No,Female,35,Married,Master,Medical,Travel_Rarely,High,1,Low,30,4014,15,Yes,4,2,High,3,Better,Excellent
1,76,Research & Development,Laboratory Technician,No,Male,31,Divorced,Master,Life Sciences,Travel_Rarely,High,2,Very High,48,5915,22,No,10,1,Very High,3,Good,Outstanding
1,77,Research & Development,Manufacturing Director,No,Male,37,Divorced,Master,Life Sciences,Travel_Rarely,Medium,2,High,51,5993,18,No,7,0,Low,2,Best,Excellent
1,78,Research & Development,Manufacturing Director,No,Male,32,Married,Bachelor,Medical,Travel_Rarely,High,2,Very High,33,6162,22,Yes,9,7,Low,3,Better,Outstanding
1,79,Research & Development,Laboratory Technician,No,Female,38,Single,Doctor,Life Sciences,Travel_Frequently,High,2,Very High,50,2406,11,No,10,9,Very High,2,Better,Excellent
1,80,Research & Development,Research Director,No,Female,50,Divorced,College,Medical,Travel_Rarely,Medium,5,High,43,18740,12,Yes,29,13,Medium,2,Good,Excellent
1,81,Sales,Sales Executive,No,Female,59,Single,Bachelor,Life Sciences,Travel_Rarely,High,3,Low,99,7637,11,No,28,7,Low,3,Good,Excellent
1,83,Research & Development,Healthcare Representative,No,Female,36,Divorced,Bachelor,Technical Degree,Travel_Rarely,High,3,High,59,10096,13,No,17,12,High,2,Better,Excellent
1,84,Research & Development,Manager,No,Female,55,Divorced,Bachelor,Medical,Travel_Rarely,High,4,High,33,14756,14,Yes,21,0,Very High,2,Better,Excellent
1,85,Research & Development,Manufacturing Director,No,Male,36,Single,Bachelor,Life Sciences,Travel_Frequently,Medium,2,Medium,95,6499,13,No,6,0,Medium,3,Better,Excellent
1,86,Research & Development,Research Scientist,No,Male,45,Divorced,Bachelor,Life Sciences,Travel_Rarely,High,3,Low,59,9724,17,No,25,0,Medium,2,Better,Excellent
1,88,Research & Development,Research Scientist,No,Male,35,Married,Bachelor,Medical,Travel_Frequently,High,1,Low,79,2194,13,No,5,1,Medium,2,Good,Excellent
1,90,Research & Development,Research Scientist,Yes,Male,36,Married,Bachelor,Medical,Travel_Rarely,Medium,1,High,79,3388,17,Yes,2,0,Very High,0,Good,Excellent
1,91,Sales,Sales Executive,No,Female,59,Single,Below College,Life Sciences,Travel_Frequently,Medium,2,High,57,5473,11,No,20,1,Low,2,Good,Excellent
1,94,Research & Development,Research Scientist,No,Male,29,Married,Bachelor,Life Sciences,Travel_Rarely,High,1,Medium,76,2703,23,No,6,0,High,3,Better,Outstanding
1,95,Research & Development,Research Scientist,No,Male,31,Single,Master,Medical,Travel_Rarely,High,1,Medium,87,2501,17,No,1,1,High,4,Better,Excellent
1,96,Research & Development,Research Scientist,No,Male,32,Married,Bachelor,Life Sciences,Travel_Rarely,High,2,Medium,66,6220,17,No,10,0,Medium,3,Better,Excellent
1,97,Research & Development,Laboratory Technician,No,Female,36,Married,Bachelor,Life Sciences,Travel_Rarely,Very High,1,Very High,55,3038,12,No,5,0,Medium,3,Better,Excellent
1,98,Research & Development,Manufacturing Director,No,Female,31,Single,Master,Life Sciences,Travel_Rarely,High,2,Very High,61,4424,23,No,11,1,High,2,Better,Outstanding
1,100,Sales,Sales Executive,No,Male,35,Single,Master,Marketing,Travel_Rarely,Medium,2,Low,32,4312,14,No,16,2,High,2,Better,Excellent
1,101,Research & Development,Research Director,No,Male,45,Married,Master,Other,Travel_Rarely,High,3,Low,52,13245,14,Yes,17,0,Very High,3,Best,Excellent
1,102,Research & Development,Research Director,No,Male,37,Single,Master,Medical,Travel_Rarely,High,3,High,30,13664,13,No,16,0,Low,3,Best,Excellent
1,103,Human Resources,Human Resources,No,Male,46,Divorced,College,Medical,Travel_Rarely,High,2,Medium,80,5021,22,Yes,16,0,Medium,2,Better,Outstanding
1,104,Research & Development,Laboratory Technician,No,Male,30,Married,Below College,Life Sciences,Travel_Rarely,Medium,2,Very High,55,5126,12,Yes,10,3,Very High,1,Good,Excellent
1,105,Research & Development,Research Scientist,No,Male,35,Single,Bachelor,Medical,Travel_Rarely,Medium,1,High,30,2859,18,No,6,0,Medium,3,Better,Excellent
1,106,Sales,Sales Executive,No,Male,55,Married,College,Life Sciences,Travel_Rarely,High,3,Very High,70,10239,14,No,24,1,Low,4,Better,Excellent
1,107,Research & Development,Research Scientist,No,Female,38,Divorced,Bachelor,Medical,Non-Travel,Low,2,Very High,79,5329,12,Yes,17,1,Medium,3,Better,Excellent
1,110,Research & Development,Manufacturing Director,No,Male,34,Married,College,Medical,Travel_Rarely,High,2,Medium,94,4325,15,No,5,1,Low,2,Better,Excellent
1,112,Research & Development,Manufacturing Director,No,Male,56,Single,Bachelor,Life Sciences,Travel_Rarely,Low,3,Very High,49,7260,11,No,37,0,Very High,3,Good,Excellent
1,113,Sales,Sales Representative,No,Male,23,Divorced,Below College,Technical Degree,Travel_Rarely,High,1,Low,62,2322,13,No,3,0,High,3,Better,Excellent
1,116,Research & Development,Laboratory Technician,No,Male,51,Married,Master,Life Sciences,Travel_Rarely,High,1,Very High,96,2075,23,No,10,0,Very High,4,Better,Outstanding
1,117,Research & Development,Healthcare Representative,No,Male,30,Married,Bachelor,Life Sciences,Travel_Rarely,Medium,2,Very High,99,4152,19,No,11,10,High,3,Better,Excellent
1,118,Sales,Sales Executive,Yes,Male,46,Single,College,Medical,Travel_Rarely,Medium,3,Very High,64,9619,16,No,9,4,High,3,Better,Excellent
1,119,Research & Development,Healthcare Representative,No,Male,40,Married,Master,Life Sciences,Travel_Frequently,Medium,4,Medium,78,13503,22,No,22,11,High,3,Good,Outstanding
1,120,Sales,Sales Executive,No,Male,51,Single,Master,Marketing,Travel_Rarely,High,2,Very High,71,5441,22,Yes,11,1,High,2,Bad,Outstanding
1,121,Sales,Sales Executive,No,Female,30,Divorced,College,Medical,Travel_Rarely,Medium,2,Medium,63,5209,12,Yes,11,2,High,4,Good,Excellent
1,124,Research & Development,Healthcare Representative,No,Male,46,Married,Bachelor,Medical,Travel_Frequently,Medium,3,Low,40,10673,13,Yes,21,9,High,5,Good,Excellent
1,125,Sales,Sales Executive,No,Male,32,Single,Master,Medical,Travel_Rarely,High,2,High,87,5010,16,No,12,5,Medium,0,Better,Excellent
1,126,Research & Development,Research Director,No,Female,54,Married,Master,Technical Degree,Travel_Rarely,High,3,High,60,13549,12,No,16,0,Low,5,Bad,Excellent
1,128,Sales,Sales Executive,No,Female,24,Married,College,Other,Travel_Rarely,High,2,High,33,4999,21,No,4,0,Low,2,Good,Outstanding
1,129,Sales,Sales Executive,No,Male,28,Married,Bachelor,Medical,Non-Travel,High,2,High,43,4221,15,No,5,0,Medium,3,Best,Excellent
1,131,Sales,Sales Executive,No,Male,58,Single,Master,Medical,Travel_Rarely,High,4,High,37,13872,13,No,38,1,Very High,1,Good,Excellent
1,132,Research & Development,Laboratory Technician,No,Male,44,Married,Bachelor,Medical,Non-Travel,High,2,Medium,67,2042,12,No,17,1,Medium,3,Best,Excellent
1,133,Human Resources,Human Resources,Yes,Male,37,Divorced,Master,Human Resources,Travel_Rarely,High,1,Low,63,2073,22,Yes,7,0,High,3,Better,Outstanding
1,134,Research & Development,Research Scientist,No,Male,32,Single,Below College,Life Sciences,Travel_Rarely,High,1,Low,71,2956,13,No,1,0,Very High,2,Better,Excellent
1,137,Research & Development,Laboratory Technician,Yes,Female,20,Single,Bachelor,Life Sciences,Travel_Frequently,Medium,1,Very High,66,2926,18,Yes,1,1,Very High,5,Better,Excellent
1,138,Research & Development,Research Scientist,No,Female,34,Single,Master,Other,Travel_Rarely,High,2,High,41,4809,14,No,16,2,Low,3,Better,Excellent
1,139,Research & Development,Healthcare Representative,No,Male,37,Divorced,College,Life Sciences,Non-Travel,Medium,2,Very High,100,5163,14,No,17,0,High,2,Best,Excellent
1,140,Human Resources,Manager,No,Female,59,Married,Master,Human Resources,Non-Travel,Medium,5,Very High,32,18844,21,No,30,2,High,3,Better,Outstanding
1,141,Research & Development,Research Director,No,Female,50,Married,Bachelor,Life Sciences,Travel_Frequently,High,5,Medium,73,18172,19,Yes,28,0,Low,1,Good,Excellent
1,142,Sales,Sales Executive,Yes,Male,25,Single,Bachelor,Marketing,Travel_Rarely,Medium,2,High,46,5744,11,Yes,6,0,High,1,Better,Excellent
1,143,Research & Development,Research Scientist,No,Male,25,Married,Below College,Medical,Travel_Rarely,Medium,1,Very High,64,2889,11,No,2,2,Very High,2,Better,Excellent
1,144,Research & Development,Laboratory Technician,No,Female,22,Single,Bachelor,Medical,Travel_Rarely,High,1,Very High,59,2871,15,No,1,0,Medium,5,Better,Excellent
1,145,Research & Development,Healthcare Representative,No,Female,51,Single,Master,Medical,Travel_Frequently,Medium,3,Low,30,7484,20,No,23,12,Low,1,Good,Outstanding
1,147,Research & Development,Laboratory Technician,Yes,Male,34,Single,Bachelor,Life Sciences,Travel_Frequently,Low,2,High,66,6074,24,Yes,9,0,Low,3,Better,Outstanding
1,148,Human Resources,Manager,No,Female,54,Single,Bachelor,Human Resources,Non-Travel,Very High,4,Very High,30,17328,12,Yes,23,4,Very High,3,Better,Excellent
1,150,Research & Development,Laboratory Technician,No,Male,24,Married,Below College,Life Sciences,Travel_Rarely,High,1,High,52,2774,12,No,6,1,Medium,2,Better,Excellent
1,151,Research & Development,Research Scientist,No,Female,34,Divorced,Master,Life Sciences,Travel_Rarely,Medium,2,Medium,45,4505,15,No,12,0,High,3,Better,Excellent
1,152,Sales,Sales Executive,No,Male,37,Single,Bachelor,Life Sciences,Travel_Rarely,High,3,Very High,87,7428,12,No,12,1,High,3,Better,Excellent
1,153,Research & Development,Manager,No,Female,34,Single,Bachelor,Medical,Travel_Rarely,Medium,3,Low,45,11631,12,No,14,5,High,6,Better,Excellent
1,154,Sales,Sales Executive,No,Female,36,Married,College,Technical Degree,Travel_Frequently,High,3,Very High,92,9738,14,No,10,2,Medium,6,Better,Excellent
1,155,Research & Development,Laboratory Technician,No,Female,36,Divorced,College,Life Sciences,Travel_Rarely,High,1,Very High,39,2835,22,No,7,0,Low,2,Better,Outstanding
1,158,Sales,Manager,No,Male,43,Married,College,Life Sciences,Travel_Frequently,High,4,Very High,92,16959,12,Yes,25,4,High,3,Best,Excellent
1,159,Research & Development,Research Scientist,No,Male,30,Divorced,Bachelor,Life Sciences,Travel_Frequently,Low,1,High,96,2613,25,No,10,0,Low,2,Good,Outstanding
1,160,Sales,Sales Executive,No,Male,33,Married,College,Marketing,Non-Travel,High,2,Medium,95,6146,13,No,8,0,High,2,Best,Excellent
1,161,Research & Development,Research Scientist,Yes,Female,56,Married,Master,Life Sciences,Travel_Rarely,High,1,Medium,72,4963,18,Yes,7,4,Medium,2,Better,Excellent
1,162,Research & Development,Research Director,No,Male,51,Single,Bachelor,Life Sciences,Travel_Rarely,High,5,High,51,19537,13,No,23,15,Low,5,Better,Excellent
1,163,Sales,Sales Executive,Yes,Male,31,Married,Master,Life Sciences,Travel_Rarely,Low,2,High,76,6172,18,Yes,12,7,Medium,3,Good,Excellent
1,164,Research & Development,Research Scientist,No,Female,26,Married,Bachelor,Other,Travel_Rarely,Medium,1,Medium,46,2368,19,No,5,4,High,3,Good,Excellent
1,165,Research & Development,Healthcare Representative,Yes,Female,58,Married,Master,Medical,Travel_Rarely,High,3,Very High,94,10312,12,No,40,15,Very High,3,Good,Excellent
1,167,Sales,Sales Representative,Yes,Male,19,Single,Below College,Marketing,Travel_Rarely,High,1,High,50,1675,19,Yes,0,0,Very High,2,Good,Excellent
1,169,Research & Development,Laboratory Technician,No,Male,22,Married,Below College,Technical Degree,Travel_Rarely,High,1,Very High,100,2523,14,No,3,2,High,2,Better,Excellent
1,170,Research & Development,Manufacturing Director,No,Female,49,Married,Master,Medical,Travel_Rarely,High,2,Low,96,6567,14,No,16,5,High,2,Good,Excellent
1,171,Research & Development,Research Scientist,No,Female,43,Single,Bachelor,Medical,Travel_Frequently,Very High,1,High,72,4739,12,No,18,1,Medium,2,Better,Excellent
1,174,Sales,Sales Executive,No,Female,50,Single,Bachelor,Marketing,Travel_Frequently,High,3,Very High,77,9208,11,No,16,2,High,3,Better,Excellent
1,175,Sales,Sales Executive,Yes,Female,31,Married,Bachelor,Life Sciences,Travel_Rarely,Low,2,High,71,4559,11,Yes,4,2,Medium,2,Better,Excellent
1,176,Sales,Sales Executive,No,Male,41,Divorced,Below College,Life Sciences,Travel_Rarely,High,3,High,96,8189,13,Yes,12,0,High,2,Better,Excellent
1,177,Human Resources,Human Resources,No,Female,26,Married,Below College,Life Sciences,Travel_Rarely,High,1,High,61,2942,23,No,8,5,High,3,Better,Outstanding
1,178,Research & Development,Manufacturing Director,No,Male,36,Divorced,College,Medical,Travel_Rarely,High,2,Medium,84,4941,20,No,7,0,Medium,0,Better,Outstanding
1,179,Research & Development,Manufacturing Director,Yes,Male,51,Single,Master,Life Sciences,Travel_Frequently,Low,3,Very High,53,10650,15,No,18,0,Low,2,Better,Excellent
1,182,Sales,Sales Executive,No,Female,39,Married,Master,Life Sciences,Travel_Rarely,Medium,2,High,47,5902,14,No,17,5,Very High,1,Best,Excellent
1,183,Sales,Sales Executive,No,Male,25,Married,Bachelor,Life Sciences,Travel_Rarely,Medium,2,High,41,8639,18,No,6,2,Low,3,Better,Excellent
1,184,Human Resources,Human Resources,No,Male,30,Married,Bachelor,Human Resources,Travel_Rarely,High,2,Very High,48,6347,19,Yes,12,4,High,2,Bad,Excellent
1,190,Research & Development,Laboratory Technician,Yes,Female,32,Single,Bachelor,Medical,Travel_Rarely,High,1,Low,41,4200,22,No,10,0,Low,2,Best,Outstanding
1,192,Research & Development,Research Scientist,No,Male,45,Single,Bachelor,Medical,Travel_Rarely,High,1,Very High,83,3452,13,No,9,0,High,2,Good,Excellent
1,193,Research & Development,Research Scientist,No,Female,38,Single,Doctor,Technical Degree,Travel_Rarely,High,2,High,32,4317,20,Yes,19,2,Very High,2,Better,Outstanding
1,194,Research & Development,Research Scientist,No,Female,30,Single,Bachelor,Life Sciences,Travel_Rarely,High,1,High,75,2632,14,No,5,0,Low,4,Good,Excellent
1,195,Sales,Sales Executive,No,Male,32,Divorced,College,Medical,Travel_Frequently,Low,2,Very High,35,4668,17,No,9,0,Very High,2,Best,Excellent
1,197,Research & Development,Research Scientist,No,Female,30,Divorced,Bachelor,Technical Degree,Travel_Rarely,High,1,Low,84,3204,14,No,8,2,Very High,3,Better,Excellent
1,198,Research & Development,Laboratory Technician,No,Male,30,Single,Below College,Medical,Travel_Rarely,Medium,1,Very High,35,2720,13,No,6,1,Medium,3,Better,Excellent
1,199,Research & Development,Manager,No,Male,41,Divorced,Bachelor,Life Sciences,Travel_Frequently,Medium,4,Low,91,17181,13,No,21,7,Very High,2,Good,Excellent
1,200,Research & Development,Laboratory Technician,No,Male,41,Married,Master,Life Sciences,Travel_Rarely,High,1,Low,94,2238,21,No,7,1,High,2,Better,Outstanding
1,201,Research & Development,Laboratory Technician,No,Female,19,Single,Below College,Medical,Travel_Rarely,High,1,Medium,79,1483,14,No,1,0,Medium,3,Better,Excellent
1,202,Research & Development,Research Scientist,No,Female,40,Divorced,Bachelor,Medical,Travel_Frequently,High,2,Medium,54,5605,11,No,20,2,Medium,2,Better,Excellent
1,204,Sales,Sales Executive,No,Male,35,Married,Doctor,Marketing,Travel_Rarely,High,3,Medium,94,7295,13,No,10,0,High,3,Better,Excellent
1,205,Sales,Sales Representative,No,Male,53,Married,College,Marketing,Travel_Rarely,High,2,High,34,2306,20,Yes,13,4,Medium,3,Bad,Outstanding
1,206,Research & Development,Laboratory Technician,No,Male,45,Divorced,Bachelor,Life Sciences,Travel_Rarely,High,2,Medium,60,2348,18,No,20,0,Medium,2,Bad,Excellent
1,207,Sales,Sales Executive,No,Female,32,Single,Bachelor,Marketing,Travel_Frequently,High,3,Very High,43,8998,14,No,9,3,Medium,2,Better,Excellent
1,208,Research & Development,Manufacturing Director,No,Male,29,Married,Below College,Technical Degree,Non-Travel,High,2,High,41,4319,13,No,10,0,Very High,1,Better,Excellent
1,211,Research & Development,Manufacturing Director,No,Male,51,Married,Master,Medical,Travel_Rarely,Medium,2,High,34,6132,17,No,10,0,Medium,2,Better,Excellent
1,214,Research & Development,Research Scientist,No,Female,58,Married,Bachelor,Medical,Travel_Rarely,Medium,1,Medium,75,3346,20,Yes,9,0,Medium,3,Good,Outstanding
1,215,Sales,Sales Executive,No,Male,40,Married,Master,Marketing,Travel_Rarely,Medium,3,Very High,67,10855,11,No,15,2,High,2,Good,Excellent
1,216,Sales,Sales Representative,No,Female,34,Married,Master,Marketing,Travel_Frequently,High,1,High,75,2231,18,No,6,1,High,3,Better,Excellent
1,217,Research & Development,Research Scientist,No,Male,22,Married,Below College,Medical,Travel_Rarely,High,1,Very High,80,2323,24,No,2,2,High,6,Better,Outstanding
1,218,Research & Development,Research Scientist,No,Male,27,Divorced,Bachelor,Medical,Non-Travel,High,1,Medium,57,2024,18,No,6,2,Very High,1,Bad,Excellent
1,221,Research & Development,Research Scientist,No,Male,28,Married,Bachelor,Medical,Travel_Rarely,High,1,Very High,42,2713,11,No,5,0,High,2,Bad,Excellent
1,223,Research & Development,Healthcare Representative,No,Male,57,Divorced,College,Life Sciences,Travel_Rarely,Very High,3,Very High,83,9439,16,Yes,12,1,High,2,Bad,Excellent
1,224,Research & Development,Research Scientist,No,Male,27,Divorced,Bachelor,Medical,Non-Travel,Medium,1,High,79,2566,15,Yes,1,0,High,2,Good,Excellent
1,226,Research & Development,Manager,No,Female,50,Single,Bachelor,Life Sciences,Travel_Rarely,High,5,Medium,53,19926,15,No,21,4,High,5,Better,Excellent
1,227,Research & Development,Research Scientist,No,Male,41,Divorced,Bachelor,Life Sciences,Travel_Rarely,High,1,High,56,2451,12,No,13,1,Low,2,Better,Excellent
1,228,Sales,Sales Executive,No,Female,30,Married,Bachelor,Life Sciences,Travel_Rarely,High,3,Very High,41,9419,12,No,12,7,Medium,2,Better,Excellent
