default,amount,grade,years,ownership,income,age
1,3800,C,3.0,MORTGAGE,68500.0,32
1,12000,B,5.0,MORTGAGE,108000.0,32
0,10000,A,3.0,MORTGAGE,62000.0,33
1,5000,C,6.0,RENT,41000.0,21
0,6000,A,2.0,MORTGAGE,47000.0,27
1,4600,D,5.0,RENT,58000.0,23
1,2000,A,24.0,RENT,24000.0,41
0,14100,A,6.0,RENT,83203.68,30
1,6200,D,61.0,MORTGAGE,75000.0,26
0,5000,D,3.0,MORTGAGE,165000.0,30
0,2100,A,6.0,MORTGAGE,61000.0,22
1,13200,D,,MORTGAGE,49800.0,30
1,25000,G,12.0,RENT,203000.0,29
0,10000,C,0.0,RENT,30000.0,27
1,25000,B,3.0,RENT,72000.0,26
0,10500,B,6.0,MORTGAGE,63400.0,22
0,6000,A,27.0,RENT,55000.0,26
0,6000,C,7.0,RENT,21812.0,25
1,1000,C,4.0,RENT,60000.0,55
0,25000,D,21.0,MORTGAGE,180000.0,24
0,9450,D,16.0,RENT,29000.0,32
0,11000,A,7.0,MORTGAGE,59000.0,37
0,15000,B,3.0,RENT,73500.0,23
0,15000,A,9.0,MORTGAGE,175000.0,44
0,6500,B,,MORTGAGE,85000.0,34
1,16800,D,6.0,RENT,75000.0,22
0,7750,A,15.0,MORTGAGE,65000.0,31
0,4000,B,2.0,RENT,29120.0,27
0,2300,B,0.0,RENT,25920.0,25
1,10000,A,9.0,MORTGAGE,60000.0,24
0,11200,D,11.0,OWN,51300.0,22
0,2500,B,5.0,RENT,45000.0,25
0,11000,D,3.0,RENT,47500.0,28
1,9600,B,4.0,MORTGAGE,80004.0,41
1,4800,C,7.0,RENT,38400.0,22
1,13000,A,3.0,RENT,54000.0,22
0,10800,B,4.0,RENT,82600.0,27
1,4600,D,3.0,RENT,58800.0,26
1,12000,C,0.0,MORTGAGE,35280.0,22
0,17800,E,1.0,RENT,85000.0,23
0,20000,C,13.0,MORTGAGE,50000.0,25
0,10000,A,2.0,MORTGAGE,105000.0,34
1,6300,C,6.0,MORTGAGE,60000.0,24
1,10000,D,3.0,RENT,75000.0,25
1,4200,B,1.0,RENT,42499.0,25
0,10000,D,2.0,RENT,48000.0,25
1,12000,D,4.0,RENT,30000.0,30
0,10800,A,21.0,MORTGAGE,110000.0,24
0,6000,C,19.0,MORTGAGE,72000.0,24
0,12000,E,3.0,RENT,125004.0,33
0,5650,D,0.0,OWN,20000.0,25
1,8000,C,3.0,MORTGAGE,38213.0,22
0,1000,D,11.0,MORTGAGE,32000.0,27
0,8000,A,4.0,RENT,54996.0,30
0,7000,B,3.0,RENT,45000.0,34
1,12000,B,7.0,MORTGAGE,26000.0,28
0,9500,B,1.0,MORTGAGE,38400.0,35
1,14000,B,0.0,MORTGAGE,75000.0,30
0,24000,E,2.0,MORTGAGE,79996.0,23
0,4000,A,5.0,RENT,70000.0,21
1,19975,C,9.0,RENT,125000.0,28
1,24000,B,30.0,MORTGAGE,160000.0,61
1,23500,D,,MORTGAGE,64800.0,22
0,15000,C,10.0,RENT,34800.0,22
0,5000,C,6.0,RENT,45600.0,25
0,5000,A,3.0,RENT,24000.0,25
1,10400,B,5.0,OWN,45000.0,25
0,3000,C,,RENT,38400.0,30
0,7500,C,3.0,MORTGAGE,90000.0,34
1,2400,D,2.0,RENT,13440.0,36
0,9000,C,4.0,OWN,81000.0,27
1,24000,F,13.0,MORTGAGE,105900.0,31
0,4000,C,0.0,RENT,34200.0,32
0,10000,B,0.0,RENT,38000.0,27
0,1600,G,4.0,RENT,42000.0,29
0,6000,A,4.0,MORTGAGE,112445.0,32
1,9000,C,2.0,RENT,18500.0,23
0,12000,B,2.0,RENT,33600.0,21
0,8000,A,4.0,RENT,72000.0,49
1,8000,D,2.0,RENT,42000.0,24
0,1800,C,3.0,RENT,36129.0,34
1,4500,C,15.0,RENT,55000.0,28
0,12250,B,4.0,MORTGAGE,47540.0,22
1,1500,A,1.0,MORTGAGE,60000.0,24
0,7000,B,12.0,RENT,50000.0,24
0,8000,A,7.0,RENT,48000.0,41
1,12875,B,3.0,RENT,37760.0,22
0,20000,D,12.0,MORTGAGE,260000.0,37
1,5000,D,0.0,RENT,65000.0,25
1,17000,A,1.0,MORTGAGE,58000.0,52
0,6000,B,1.0,RENT,75000.0,23
1,7000,E,6.0,MORTGAGE,80000.0,28
0,1050,A,6.0,MORTGAGE,61000.0,27
1,13750,E,23.0,MORTGAGE,38644.0,22
0,10000,A,4.0,MORTGAGE,57664.0,23
1,2000,C,0.0,RENT,33000.0,21
0,2500,B,1.0,OWN,18000.0,21
0,2000,D,4.0,RENT,39000.0,27
0,24000,A,4.0,RENT,48000.0,26
1,25000,C,5.0,MORTGAGE,73476.0,23
0,10000,A,6.0,MORTGAGE,40000.0,24
1,1500,C,0.0,RENT,42000.0,22
1,11500,B,0.0,MORTGAGE,28800.0,22
1,1500,B,7.0,RENT,45000.0,39
1,7500,B,9.0,MORTGAGE,78955.0,22
0,4800,B,26.0,RENT,69000.0,29
0,8000,A,1.0,OWN,68000.0,31
0,10000,A,3.0,MORTGAGE,125000.0,25
1,7000,B,1.0,MORTGAGE,93000.0,46
0,32000,A,2.0,RENT,120000.0,25
0,2500,C,0.0,RENT,20640.0,22
1,6000,B,5.0,MORTGAGE,126000.0,45
1,5000,B,22.0,RENT,57000.0,26
0,2000,C,11.0,RENT,26500.0,37
0,10000,A,7.0,MORTGAGE,75000.0,26
0,4000,C,3.0,MORTGAGE,115000.0,29
1,10000,D,6.0,MORTGAGE,160000.0,36
0,8000,B,0.0,RENT,26000.0,22
1,8400,C,4.0,MORTGAGE,100000.0,23
1,10000,E,5.0,MORTGAGE,60000.0,23
0,22750,A,0.0,RENT,49404.0,35
0,4000,C,7.0,MORTGAGE,80000.0,23
1,4200,C,18.0,RENT,61512.0,27
1,12000,C,18.0,RENT,32000.0,24
0,33000,B,0.0,MORTGAGE,70000.0,27
1,2500,D,0.0,OWN,36000.0,28
0,11500,A,6.0,MORTGAGE,55000.0,26
0,5000,C,3.0,RENT,65000.0,23
1,4000,A,12.0,RENT,50582.0,22
0,3500,A,2.0,RENT,30720.0,29
0,15000,A,1.0,RENT,147000.0,34
1,14100,C,7.0,RENT,52000.0,22
0,20000,C,9.0,MORTGAGE,85000.0,23
1,3200,A,1.0,MORTGAGE,57000.0,22
1,900,C,3.0,RENT,12000.0,32
0,3000,A,2.0,RENT,38748.0,25
1,4800,E,3.0,RENT,15000.0,24
1,18000,C,4.0,RENT,132725.38,27
0,12000,B,5.0,MORTGAGE,112000.0,23
1,7200,B,4.0,RENT,45000.0,27
0,6000,E,2.0,RENT,36000.0,33
0,5000,B,8.0,RENT,74500.0,26
0,8000,B,3.0,RENT,36000.0,30
1,7000,C,5.0,MORTGAGE,74400.0,36
1,5500,C,1.0,MORTGAGE,24900.0,22
0,14000,B,0.0,RENT,42000.0,27
1,15600,D,21.0,MORTGAGE,87000.0,49
0,1925,B,0.0,RENT,30000.0,23
0,18000,B,5.0,RENT,84000.0,25
1,10000,A,4.0,MORTGAGE,61000.0,26
1,7500,C,1.0,RENT,40000.0,30
0,2000,A,0.0,MORTGAGE,67992.0,29
0,19550,D,0.0,RENT,130000.0,22
0,2500,A,3.0,OWN,26000.0,28
0,5000,A,1.0,MORTGAGE,100000.0,24
1,6000,B,2.0,MORTGAGE,44300.0,27
1,6500,B,6.0,RENT,21000.0,21
0,4000,A,,OWN,33600.0,23
0,8000,A,6.0,MORTGAGE,125000.0,25
1,15450,C,7.0,RENT,120000.0,26
1,6000,D,2.0,MORTGAGE,56160.0,24
1,10000,B,12.0,MORTGAGE,36252.0,25
0,4800,A,1.0,RENT,27000.0,21
0,10000,C,13.0,MORTGAGE,75689.0,30
0,5000,A,2.0,MORTGAGE,80000.0,25
0,5000,B,24.0,MORTGAGE,93600.0,22
0,8000,A,18.0,MORTGAGE,65000.0,26
1,16000,B,14.0,MORTGAGE,61000.0,32
0,6000,D,0.0,RENT,71074.0,23
0,5000,A,6.0,RENT,60000.0,23
0,9000,D,3.0,RENT,70000.0,29
0,23000,C,0.0,MORTGAGE,120000.0,23
0,14000,C,31.0,RENT,78700.0,22
1,5000,A,4.0,OWN,18000.0,27
0,5500,C,1.0,MORTGAGE,9600.0,25
0,7000,C,3.0,RENT,36500.0,27
0,12000,A,2.0,RENT,64575.0,24
0,15000,B,4.0,MORTGAGE,67000.0,39
0,2800,B,7.0,RENT,24000.0,32
0,10800,C,2.0,RENT,55000.0,25
0,4800,C,5.0,RENT,39996.0,26
0,14500,A,11.0,MORTGAGE,64000.0,35
0,9600,B,2.0,MORTGAGE,55000.0,27
1,25000,C,11.0,MORTGAGE,73000.0,25
0,10000,B,1.0,OWN,55000.0,22
0,18000,A,1.0,MORTGAGE,48000.0,38
1,3000,D,5.0,RENT,60000.0,40
0,8400,B,7.0,MORTGAGE,28800.0,23
1,4000,B,2.0,RENT,39000.0,36
0,8000,B,3.0,MORTGAGE,54000.0,24
0,8000,B,25.0,MORTGAGE,109200.0,28
0,21000,B,17.0,RENT,110000.0,39
1,5000,B,,RENT,38000.0,23
0,8000,C,5.0,RENT,55000.0,31
0,3600,B,0.0,RENT,110000.0,30
0,12000,E,3.0,RENT,50000.0,24
0,6000,C,0.0,RENT,33280.0,21
1,2300,C,4.0,RENT,68000.0,29
0,4075,A,0.0,RENT,19200.0,31
1,12375,B,2.0,MORTGAGE,39552.0,30
0,6350,A,0.0,MORTGAGE,36000.0,26
0,14500,A,11.0,RENT,100000.0,26
0,4200,C,6.0,OWN,48000.0,35
0,20000,D,27.0,MORTGAGE,121178.0,28
0,6925,B,6.0,RENT,25000.0,21
1,1000,D,0.0,OWN,17280.0,38
1,2000,B,4.0,MORTGAGE,55000.0,21
0,10000,B,16.0,MORTGAGE,32000.0,23
0,12000,A,4.0,MORTGAGE,70000.0,31
0,16750,B,4.0,RENT,33000.0,33
0,4000,C,4.0,OWN,15000.0,23
0,1050,A,6.0,MORTGAGE,61000.0,27
0,4000,A,17.0,OWN,25200.0,32
1,2500,B,2.0,OWN,20004.0,21
0,14000,D,4.0,RENT,46800.0,39
1,10000,C,0.0,RENT,44469.0,35
1,6000,B,2.0,RENT,46680.0,22
1,1000,D,20.0,RENT,48000.0,21
0,8000,D,3.0,RENT,60000.0,24
0,13000,A,0.0,RENT,90000.0,24
0,20000,C,3.0,MORTGAGE,160000.0,25
0,16000,B,13.0,RENT,90000.0,27
1,3000,B,0.0,RENT,13200.0,28
0,7125,A,1.0,MORTGAGE,36000.0,39
1,2500,B,7.0,OWN,15360.0,22
0,2050,A,16.0,OWN,50000.0,23
0,7600,A,13.0,MORTGAGE,100000.0,27
0,4800,A,6.0,MORTGAGE,35000.0,38
1,1600,C,3.0,MORTGAGE,28500.0,27
1,4800,D,4.0,RENT,63996.0,31
1,7475,A,3.0,OWN,53000.0,28
0,11000,B,8.0,RENT,45000.0,22
0,12000,B,1.0,RENT,60000.0,24
0,15600,B,0.0,RENT,69000.0,36
1,6000,C,0.0,RENT,35000.0,25
0,10000,B,2.0,RENT,165000.0,24
0,4500,A,0.0,RENT,36000.0,21
1,5000,C,2.0,OWN,32500.0,23
0,7200,B,2.0,MORTGAGE,105000.0,26
0,10000,C,5.0,MORTGAGE,39216.0,23
0,6000,B,7.0,MORTGAGE,39996.0,22
1,15000,C,31.0,RENT,75000.0,23
1,8000,B,4.0,MORTGAGE,62000.0,29
1,2500,B,4.0,RENT,70000.0,24
1,1500,C,3.0,RENT,40980.0,22
1,24000,D,5.0,MORTGAGE,135000.0,26
1,4500,B,21.0,RENT,62000.0,23
1,24175,B,9.0,MORTGAGE,95000.0,23
1,35000,C,16.0,RENT,70000.0,24
0,8000,B,14.0,MORTGAGE,42000.0,23
1,10000,B,4.0,RENT,36000.0,27
0,4200,A,5.0,RENT,30000.0,34
0,11200,D,5.0,RENT,42000.0,21
0,5000,B,3.0,MORTGAGE,54996.0,22
0,7300,A,5.0,RENT,50000.0,27
0,10000,B,7.0,OWN,60000.0,24
1,7000,C,2.0,RENT,14400.0,29
0,12000,A,3.0,MORTGAGE,72984.0,24
0,8000,C,16.0,MORTGAGE,60000.0,21
1,10000,C,0.0,RENT,60000.0,25
1,10000,E,1.0,MORTGAGE,60000.0,36
1,10000,A,8.0,MORTGAGE,96000.0,28
1,3200,D,3.0,RENT,18996.0,22
1,5000,D,4.0,OWN,33000.0,21
1,6000,C,2.0,RENT,48000.0,23
0,3600,A,9.0,RENT,32000.0,24
1,9700,B,1.0,RENT,56400.0,27
1,2050,C,23.0,MORTGAGE,33000.0,24
0,5000,C,0.0,RENT,48504.0,29
0,7500,A,5.0,RENT,38000.0,22
1,15000,C,8.0,RENT,31680.0,21
0,8000,B,0.0,RENT,27000.0,26
0,28000,D,8.0,OWN,140000.0,27
1,12000,A,2.0,RENT,30000.0,34
1,10000,A,23.0,RENT,70000.0,23
0,16525,C,9.0,RENT,70000.0,26
0,2400,C,4.0,RENT,67000.0,26
0,3000,B,10.0,RENT,58800.0,33
0,4000,A,4.0,MORTGAGE,115000.0,25
1,4500,A,8.0,MORTGAGE,28000.0,26
0,2000,B,1.0,RENT,80000.0,23
0,9000,B,3.0,RENT,74000.0,26
0,17000,B,11.0,RENT,96000.0,22
1,8000,D,4.0,RENT,62400.0,24
0,1400,A,,OWN,8628.0,23
1,2400,C,5.0,RENT,99999.0,25
1,12800,D,2.0,MORTGAGE,141996.0,27
0,3000,A,11.0,RENT,67000.0,32
1,10800,A,38.0,MORTGAGE,51000.0,33
0,3000,A,,MORTGAGE,16908.0,36
0,4000,B,1.0,RENT,78000.0,32
0,7400,D,2.0,MORTGAGE,71000.0,22
0,2200,B,8.0,RENT,70000.0,27
0,17000,C,5.0,RENT,37000.0,35
1,7000,B,7.0,RENT,44400.0,27
0,5000,A,1.0,RENT,52000.0,23
1,6000,B,3.0,RENT,39000.0,22
0,12000,D,16.0,MORTGAGE,62208.0,22
0,24000,E,0.0,RENT,53000.0,27
0,4800,B,19.0,MORTGAGE,108000.0,25
1,1600,C,2.0,OWN,57068.0,26
0,4200,B,2.0,RENT,31500.0,31
0,4000,C,0.0,RENT,48000.0,33
1,2400,C,2.0,RENT,30720.0,23
0,7500,D,15.0,MORTGAGE,105000.0,43
0,6000,B,0.0,RENT,90000.0,30
1,25000,D,1.0,MORTGAGE,101000.0,24
0,4800,C,0.0,RENT,65000.0,26
1,6400,D,5.0,RENT,75000.0,35
1,10000,D,6.0,MORTGAGE,75000.0,22
1,6000,B,1.0,RENT,48000.0,40
1,6500,C,1.0,RENT,40000.0,22
0,4500,C,2.0,RENT,39996.0,22
0,4800,A,,RENT,89000.0,26
1,15000,E,11.0,MORTGAGE,170000.0,33
1,7500,B,0.0,RENT,40000.0,32
0,22000,B,5.0,MORTGAGE,100800.0,30
1,12000,B,3.0,RENT,75000.0,27
1,18000,G,16.0,MORTGAGE,300000.0,28
0,4000,A,1.0,MORTGAGE,15456.0,31
1,22000,B,0.0,MORTGAGE,72500.0,23
0,4500,A,4.0,RENT,53000.0,40
0,25000,D,4.0,RENT,55000.0,23
1,5000,A,1.0,RENT,40000.0,45
0,5200,B,2.0,MORTGAGE,36000.0,24
1,9800,C,7.0,RENT,50000.0,23
0,25000,E,0.0,MORTGAGE,150000.0,28
0,8650,A,13.0,MORTGAGE,60000.0,28
0,1500,B,2.0,RENT,15600.0,21
1,6000,A,4.0,MORTGAGE,71000.0,25
1,10000,B,4.0,RENT,42000.0,22
1,13000,C,12.0,RENT,24000.0,21
0,2000,A,0.0,RENT,12000.0,23
0,11700,A,,MORTGAGE,77705.88,23
1,3000,A,0.0,RENT,28800.0,27
1,6400,D,19.0,MORTGAGE,50000.0,22
0,7000,C,0.0,RENT,50000.0,30
0,7000,A,1.0,MORTGAGE,65000.0,23
0,1925,B,7.0,OWN,69600.0,23
1,1500,A,2.0,RENT,24840.0,28
0,4500,A,2.0,RENT,44004.0,26
1,24250,D,0.0,RENT,120000.0,29
0,2350,A,7.0,RENT,40080.0,37
1,5325,B,,RENT,22000.0,21
0,30000,A,0.0,RENT,131000.0,21
1,6400,C,9.0,RENT,70775.0,28
1,7000,A,13.0,MORTGAGE,45000.0,22
1,18000,B,0.0,RENT,42480.0,43
0,8000,E,0.0,MORTGAGE,50000.0,25
0,7500,B,6.0,RENT,46800.0,26
1,6000,E,3.0,RENT,47500.0,23
1,4000,C,2.0,RENT,18000.0,24
1,2800,F,1.0,RENT,23000.0,22
1,21600,D,2.0,MORTGAGE,58600.0,27
1,9000,E,4.0,RENT,42000.0,35
0,8000,B,9.0,MORTGAGE,48000.0,26
0,9600,B,5.0,RENT,35000.0,25
0,18000,D,0.0,RENT,56000.0,52
1,11000,B,3.0,MORTGAGE,42000.0,26
0,2000,A,2.0,RENT,37000.0,24
0,8000,B,0.0,RENT,95000.0,25
0,12000,B,1.0,RENT,61000.0,27
0,9000,A,7.0,MORTGAGE,48800.0,24
0,11000,A,4.0,RENT,35000.0,29
0,2400,B,0.0,MORTGAGE,30000.0,21
1,12600,B,27.0,OWN,38000.0,30
0,9600,A,3.0,OWN,39000.0,27
0,18000,B,0.0,MORTGAGE,57408.0,30
1,10000,C,34.0,RENT,90000.0,31
0,14150,B,3.0,RENT,40000.0,29
0,12000,A,22.0,MORTGAGE,240000.0,29
1,1500,D,2.0,RENT,38004.0,41
1,15000,B,1.0,RENT,90000.0,26
1,12000,B,5.0,MORTGAGE,85248.0,25
0,10000,B,2.0,MORTGAGE,67145.0,22
1,15000,A,7.0,RENT,95600.0,23
0,6000,A,11.0,MORTGAGE,52000.0,28
1,7000,A,2.0,RENT,45000.0,22
0,14000,A,3.0,RENT,30000.0,34
0,9600,A,7.0,RENT,65450.0,24
1,3000,C,,RENT,36132.0,38
0,3800,C,0.0,RENT,19200.0,25
1,1000,A,4.0,MORTGAGE,30000.0,23
1,7500,D,2.0,RENT,91500.0,24
0,4500,B,0.0,RENT,45000.0,23
0,4000,C,20.0,OWN,36000.0,30
0,18000,A,6.0,RENT,80000.0,21
1,20000,B,6.0,RENT,60000.0,25
1,1600,D,13.0,RENT,39000.0,27
0,4075,A,0.0,RENT,19200.0,31
1,7500,D,7.0,MORTGAGE,56000.0,23
0,15000,B,19.0,RENT,42000.0,23
0,24000,D,7.0,MORTGAGE,98000.0,25
0,1950,B,,OWN,12000.0,47
0,10000,A,,MORTGAGE,61000.0,23
0,1000,B,3.0,OWN,16800.0,51
1,8400,C,6.0,MORTGAGE,152004.0,35
0,10000,A,0.0,MORTGAGE,135000.0,33
1,6600,A,0.0,OWN,32004.0,22
1,6000,A,5.0,RENT,35000.0,23
0,3000,A,2.0,RENT,40000.0,27
1,4800,B,6.0,RENT,44100.0,28
0,20000,A,5.0,MORTGAGE,189000.0,33
1,5500,B,20.0,RENT,57600.0,26
1,10000,A,5.0,MORTGAGE,108000.0,25
0,3000,A,9.0,RENT,84000.0,25
0,14500,A,14.0,OWN,44000.0,24
1,9600,C,7.0,RENT,37800.0,23
1,7150,D,17.0,RENT,64500.0,41
1,10000,A,1.0,MORTGAGE,57000.0,27
0,17000,D,3.0,RENT,92000.0,31
0,4500,A,1.0,MORTGAGE,57000.0,30
1,22350,E,1.0,OWN,135000.0,27
1,10000,B,7.0,RENT,30000.0,28
1,5000,B,9.0,MORTGAGE,65000.0,21
0,7200,D,2.0,RENT,85000.0,25
0,8000,B,5.0,RENT,50000.0,37
1,11400,E,4.0,MORTGAGE,55000.0,23
1,10000,A,1.0,RENT,25000.0,21
1,5050,C,5.0,MORTGAGE,62000.0,28
0,8800,A,3.0,RENT,60000.0,22
1,15000,C,0.0,MORTGAGE,73392.0,34
0,20000,B,9.0,MORTGAGE,85000.0,29
0,16000,C,2.0,RENT,45000.0,41
1,10000,G,2.0,MORTGAGE,108000.0,26
1,10000,C,7.0,OWN,30000.0,24
0,6000,D,0.0,RENT,26880.0,29
1,10000,B,0.0,MORTGAGE,18000.0,24
0,10000,A,0.0,RENT,70000.0,46
0,17000,D,0.0,RENT,90000.0,26
1,25000,D,2.0,RENT,50000.0,24
0,6000,B,,MORTGAGE,65000.0,26
1,8000,D,14.0,MORTGAGE,40000.0,38
0,7200,A,2.0,MORTGAGE,87000.0,27
0,8000,A,5.0,MORTGAGE,54000.0,24
1,2800,D,2.0,RENT,43200.0,25
0,3000,A,19.0,MORTGAGE,42000.0,22
0,8000,B,4.0,MORTGAGE,84996.0,30
0,20000,G,4.0,RENT,65000.0,29
0,4000,B,2.0,RENT,80000.0,25
1,12000,A,3.0,RENT,57000.0,24
0,25000,F,1.0,MORTGAGE,120000.0,24
0,16000,A,5.0,RENT,80000.0,27
0,8500,B,4.0,RENT,25000.0,25
1,15000,D,19.0,RENT,37000.0,22
0,5600,C,8.0,RENT,75797.0,31
1,8000,C,2.0,RENT,61700.0,26
0,27575,B,1.0,MORTGAGE,54000.0,27
1,12800,D,28.0,RENT,48200.0,22
1,8000,D,5.0,MORTGAGE,65000.0,29
1,1000,B,,RENT,10000.0,23
0,6400,C,2.0,RENT,35000.0,23
1,20000,E,6.0,MORTGAGE,145000.0,28
1,15000,C,0.0,RENT,81000.0,23
0,25000,D,2.0,RENT,52000.0,26
1,10875,C,9.0,RENT,41500.0,22
0,12000,A,4.0,RENT,75000.0,23
1,10000,B,14.0,OWN,78996.0,22
0,3000,B,8.0,RENT,32796.0,30
1,12000,D,4.0,MORTGAGE,60000.0,25
0,6000,A,,OWN,37404.0,27
1,5000,C,6.0,MORTGAGE,60000.0,41
1,10000,D,15.0,MORTGAGE,45000.0,29
1,20000,D,1.0,RENT,48000.0,22
1,6000,B,2.0,MORTGAGE,42000.0,26
0,2000,C,2.0,RENT,41000.0,27
0,4000,A,5.0,MORTGAGE,19200.0,26
0,10000,B,1.0,MORTGAGE,51000.0,32
0,18000,D,1.0,RENT,180000.0,30
0,8500,B,4.0,MORTGAGE,81400.0,22
0,9975,D,2.0,RENT,79000.0,40
0,2000,A,1.0,OWN,24000.0,32
0,12000,D,29.0,RENT,54000.0,29
1,7500,D,6.0,MORTGAGE,85000.0,34
0,5000,D,4.0,RENT,57996.0,24
