"Age","Gender","OwnHome","Married","Location","Salary","Children","History","Catalogs","AmountSpent","Cust_Id"
"Middle","Female","Own","Single","Far",47500,0,"High",6,847,958
"Young","Female","Rent","Single","Close",31300,1,"Low",6,357,1149
"Young","Female","Rent","Married","Far",32700,1,NA,18,1276,633
"Middle","Male","Own","Married","Close",72200,0,"High",24,2492,477
"Middle","Female","Own","Married","Close",107600,2,"Medium",12,1512,607
"Middle","Male","Own","Married","Close",109900,2,"Medium",12,870,1170
"Middle","Female","Own","Married","Close",65400,2,"Medium",24,938,579
"Old","Female","Own","Single","Close",43300,0,NA,12,1584,55
"Old","Female","Own","Single","Close",51900,0,"Medium",12,1148,154
"Middle","Female","Own","Married","Far",80600,0,"High",24,2840,569
"Middle","Female","Rent","Single","Close",42700,0,"Medium",12,827,452
"Young","Male","Rent","Single","Far",19000,0,NA,12,428,1033
"Young","Female","Rent","Single","Close",14500,1,"Low",6,183,139
"Middle","Female","Own","Married","Close",68200,1,NA,6,818,619
"Young","Male","Rent","Married","Close",36700,0,"Medium",12,731,1053
"Old","Male","Own","Married","Far",54600,0,"High",24,2163,103
"Middle","Male","Own","Married","Close",65900,1,"Medium",12,1081,1168
"Young","Male","Own","Single","Far",39600,0,NA,12,1085,1138
"Young","Male","Rent","Married","Far",67300,3,NA,6,1212,540
"Middle","Male","Own","Single","Close",59700,1,NA,18,1422,546
"Middle","Female","Own","Married","Far",102800,2,"High",18,2238,200
"Middle","Female","Rent","Single","Close",34700,0,NA,18,1615,448
"Middle","Male","Own","Single","Close",50600,3,NA,6,713,823
"Middle","Male","Rent","Married","Close",106700,2,"Medium",6,607,273
"Middle","Male","Rent","Single","Close",53900,1,"Medium",6,735,1096
"Young","Female","Rent","Married","Close",25500,2,"Low",6,139,480
"Young","Male","Rent","Married","Far",46300,1,"Medium",18,1357,501
"Old","Male","Own","Married","Close",55500,0,"Medium",18,858,42
"Young","Female","Own","Single","Close",27800,3,NA,12,408,76
"Middle","Male","Own","Married","Close",118600,1,NA,12,1553,1069
"Middle","Female","Own","Married","Close",130700,3,NA,6,2070,94
"Old","Male","Rent","Single","Close",42800,0,"Medium",12,922,110
"Middle","Female","Own","Married","Far",118300,1,"High",12,2502,393
"Young","Female","Rent","Single","Far",25600,2,NA,18,426,855
"Middle","Male","Rent","Married","Close",63500,2,NA,24,2321,75
"Old","Female","Own","Single","Close",30900,0,"Medium",18,862,1106
"Middle","Male","Own","Single","Close",55900,1,NA,24,2555,231
"Middle","Male","Own","Single","Far",53900,0,NA,12,1186,301
"Old","Male","Own","Married","Close",84300,0,"High",24,2842,815
"Old","Male","Own","Single","Close",53400,1,"Medium",12,886,549
"Middle","Male","Own","Married","Close",96900,1,"High",12,1420,1240
"Middle","Male","Rent","Single","Far",55800,1,NA,6,821,255
"Young","Female","Rent","Married","Close",25900,1,"Low",6,242,591
"Young","Female","Rent","Single","Close",22000,1,"Low",12,472,400
"Middle","Female","Rent","Married","Close",96700,2,"Medium",12,1231,276
"Middle","Female","Rent","Single","Close",40200,1,NA,12,881,1057
"Old","Male","Own","Married","Close",26800,0,"Low",12,435,454
"Young","Female","Rent","Single","Close",16700,2,"Low",12,108,759
"Young","Female","Rent","Married","Close",40900,2,"Low",18,576,991
"Young","Male","Rent","Married","Far",41500,3,NA,24,1314,1047
"Young","Male","Rent","Single","Close",20900,0,NA,6,296,459
"Young","Female","Rent","Married","Close",69700,2,"Medium",6,584,1190
"Middle","Male","Rent","Single","Close",61800,0,"High",24,1156,1096
"Middle","Male","Own","Married","Close",102500,1,"High",24,2464,250
"Middle","Female","Own","Married","Close",48900,3,NA,18,915,1199
"Middle","Male","Own","Single","Close",60300,0,NA,24,2091,896
"Young","Male","Rent","Married","Far",41600,0,"High",24,1690,801
"Middle","Male","Own","Single","Close",73700,1,"Medium",12,1274,357
"Young","Female","Rent","Single","Close",27000,1,NA,24,1012,898
"Middle","Female","Rent","Single","Close",43700,0,"Medium",12,950,990
"Young","Male","Rent","Single","Close",10200,2,NA,12,333,151
"Middle","Female","Own","Married","Close",63300,2,"Medium",24,679,518
"Young","Female","Own","Single","Far",33200,2,"Medium",12,607,392
"Old","Female","Own","Married","Far",78800,0,"High",18,3398,376
"Middle","Male","Own","Married","Close",82500,0,"High",6,859,588
"Middle","Male","Own","Single","Far",80800,2,"High",18,2444,643
"Middle","Male","Own","Married","Close",88100,2,"Medium",24,1078,452
"Middle","Male","Rent","Married","Far",124800,3,"High",18,2537,1077
"Young","Male","Own","Single","Close",31900,0,"Medium",6,616,1093
"Middle","Female","Own","Single","Close",53300,3,NA,6,508,863
"Old","Male","Own","Married","Far",15400,0,"Low",6,297,1290
"Middle","Male","Own","Married","Close",70200,0,NA,6,1583,579
"Young","Female","Rent","Single","Close",23000,3,"Low",6,79,810
"Middle","Female","Own","Married","Close",82400,2,"Medium",18,657,600
"Middle","Female","Own","Married","Close",97900,0,"High",24,2149,1275
"Old","Female","Rent","Married","Far",88400,0,"High",18,3632,1162
"Middle","Female","Own","Married","Close",86900,0,"High",18,2230,315
"Middle","Female","Own","Single","Close",45100,1,"Medium",12,448,1096
"Middle","Male","Rent","Single","Close",41800,3,"Low",24,301,392
"Old","Male","Own","Married","Close",74800,0,"High",18,1968,1073
"Middle","Female","Rent","Married","Close",73000,1,"Medium",6,490,16
"Middle","Male","Own","Married","Close",118500,1,"High",24,3063,829
"Middle","Male","Own","Single","Close",65300,3,"Low",6,193,1176
"Middle","Female","Rent","Married","Close",66300,2,"Medium",12,544,134
"Middle","Male","Own","Married","Far",103900,1,"High",24,2666,175
"Middle","Female","Own","Married","Close",71900,0,"High",18,1846,1271
"Middle","Male","Own","Married","Far",86100,1,NA,12,1255,137
"Middle","Male","Own","Married","Close",96300,1,"High",12,1081,38
"Young","Female","Rent","Single","Close",10200,3,NA,6,199,366
"Middle","Male","Own","Married","Close",96300,2,NA,18,3916,1148
"Old","Female","Own","Single","Far",24000,1,"Low",6,357,309
"Middle","Female","Rent","Married","Close",46700,0,"Medium",24,983,147
"Middle","Female","Rent","Single","Close",53700,2,NA,12,1194,844
"Middle","Male","Rent","Married","Close",108300,2,NA,12,2224,1052
"Young","Female","Rent","Single","Close",12100,1,"Low",6,90,287
"Young","Male","Rent","Married","Close",36600,0,NA,6,587,743
"Old","Male","Own","Married","Close",66300,0,"High",12,1088,601
"Young","Female","Own","Single","Close",33400,1,NA,6,617,370
"Middle","Male","Own","Married","Far",70000,1,NA,6,1227,1193
"Middle","Female","Own","Single","Close",47900,1,"Medium",24,662,579
"Middle","Female","Rent","Married","Close",40500,2,"Low",18,622,731
"Old","Male","Own","Single","Close",69100,0,"High",12,1477,1236
"Young","Female","Rent","Single","Close",13300,1,NA,6,236,453
"Middle","Female","Rent","Married","Far",75800,1,"High",12,1830,346
"Middle","Female","Rent","Married","Close",48600,0,"Medium",24,1583,279
"Old","Female","Own","Single","Close",39600,0,"Medium",12,610,86
"Young","Female","Rent","Single","Close",11700,0,"Low",12,193,374
"Young","Male","Rent","Married","Close",52600,1,"Medium",12,1052,315
"Young","Male","Rent","Single","Close",14600,3,NA,6,307,205
"Old","Male","Own","Married","Close",123000,0,"High",24,3671,584
"Old","Female","Rent","Married","Far",64600,0,"High",18,2206,820
"Middle","Female","Own","Single","Far",34600,2,"Medium",18,748,188
"Middle","Male","Own","Married","Close",74500,0,"High",6,1481,1132
"Old","Male","Own","Married","Close",56600,0,NA,24,1607,489
"Old","Female","Rent","Single","Close",37000,1,NA,6,632,920
"Young","Female","Rent","Single","Far",18400,1,"Low",6,303,1297
"Young","Male","Rent","Single","Close",25000,0,"Low",6,264,1107
"Middle","Male","Own","Married","Far",61400,1,"High",24,1575,618
"Middle","Male","Own","Married","Close",76400,2,"Medium",18,881,270
"Young","Male","Own","Married","Close",55100,0,"Medium",18,1439,1027
"Old","Female","Own","Married","Far",22800,0,NA,12,452,583
"Old","Female","Own","Married","Close",10100,1,"Low",6,93,642
"Young","Male","Rent","Single","Close",17800,0,"Low",18,292,1043
"Middle","Female","Own","Married","Close",59100,1,NA,6,1426,821
"Young","Female","Rent","Single","Far",19700,2,"Low",6,330,401
"Middle","Male","Own","Married","Far",73800,0,"High",24,3120,979
"Middle","Male","Own","Married","Far",113300,1,"High",18,5151,207
"Middle","Male","Own","Married","Far",118400,2,NA,12,3941,728
"Middle","Male","Own","Married","Close",92300,1,NA,24,2141,128
"Young","Male","Rent","Single","Close",11200,0,NA,6,106,1001
"Young","Female","Rent","Married","Far",30100,0,"Medium",12,530,321
"Middle","Female","Own","Single","Close",43500,1,"Medium",12,500,679
"Middle","Male","Own","Married","Close",97500,0,"High",18,2837,1061
"Old","Male","Own","Married","Close",54600,0,"Medium",24,1246,983
"Middle","Male","Rent","Single","Far",42500,1,NA,6,798,423
"Middle","Male","Own","Single","Close",82800,0,NA,6,1544,199
"Old","Male","Own","Married","Far",62300,0,"High",24,2644,1000
"Young","Male","Rent","Single","Far",21900,2,NA,6,192,727
"Middle","Female","Rent","Single","Far",35600,3,"Low",18,865,880
"Middle","Male","Own","Married","Close",96900,0,"High",6,1159,694
"Young","Female","Rent","Married","Close",36900,1,NA,18,1480,175
"Middle","Female","Rent","Married","Close",93500,1,"High",18,1426,1212
"Middle","Male","Own","Married","Close",97300,1,NA,12,3048,808
"Young","Male","Rent","Single","Close",21900,0,"Low",12,276,671
"Middle","Male","Rent","Single","Close",63000,0,"High",24,1910,1056
"Young","Female","Rent","Single","Close",11500,3,NA,6,157,733
"Middle","Male","Own","Single","Close",44600,2,"Low",6,236,211
"Young","Female","Rent","Single","Close",21900,1,NA,12,576,316
"Middle","Male","Rent","Single","Far",45100,1,"Medium",12,794,603
"Old","Female","Own","Married","Close",74900,0,"High",12,1474,827
"Young","Male","Rent","Single","Close",14200,0,"Low",6,250,620
"Young","Female","Rent","Single","Far",23200,2,NA,24,788,1204
"Old","Male","Own","Married","Close",73300,0,NA,12,1694,341
