"Tweet_Date"|"Tweet_Text"|"Tweet_Handle"
"Thu Dec 26 111640 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"kodandaramaiah"
"Thu Dec 26 111638 0000 2013"|"RT Ajaykumar265 Positive News for AamAadmiParty Delhi had a revenue surplus of 9713 crores httptcoCRJdtAYtQ4"|"naveen10036"
"Thu Dec 26 111637 0000 2013"|"ankitlal AamAadmiParty in form page no 9 its mentioned list of 1000 proposing voters but on further pages counting is given till 100"|"piyush10jain"
"Thu Dec 26 111556 0000 2013"|"AAP invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoWn5q0LrbeH  "|"anoopxing"
"Thu Dec 26 111541 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"jyotsnasarabu"
"Thu Dec 26 111541 0000 2013"|"RT monsun14 Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"gggaurav88"
"Thu Dec 26 111532 0000 2013"|"AAP nomination form for contesting LokSabha  ull need 1k proposers criminalfree record httpstcoCAeQhtbV31 AamAadmiParty"|"theRohitBansal"
"Thu Dec 26 111529 0000 2013"|"RT AamAdmiParty AAP invites nominations for LokSabha 2014 elections LS2014 Link to form httptco3zatUGetKh httptcoNO7T36dUUx"|"Ikumar7"
"Thu Dec 26 111528 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"deepalijaitly"
"Thu Dec 26 111521 0000 2013"|"If you are not corrupt want better change in country amp if you want to become MP of India file your nomination here httptcoRGYWyUL5gJ"|"iamAKapoor"
"Thu Dec 26 111508 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"Ikumar7"
"Thu Dec 26 111502 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"gggaurav88"
"Thu Dec 26 111456 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"gggaurav88"
"Thu Dec 26 111452 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"sidaq09"
"Thu Dec 26 111448 0000 2013"|"RT monsun14 Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"carshid"
"Thu Dec 26 111446 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"agihar1"
"Thu Dec 26 111442 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"PramodSonavane"
"Thu Dec 26 111431 0000 2013"|"AAP invites nominations for LokSabha 2014 elections LS2014 Link to form httptco3zatUGetKh httptcoNO7T36dUUx"|"AamAdmiParty"
"Thu Dec 26 111425 0000 2013"|"Positive News for AamAadmiParty Delhi had a revenue surplus of 9713 crores httptcoCRJdtAYtQ4"|"Ajaykumar265"
"Thu Dec 26 111421 0000 2013"|"i think we should welcome all the good people from all party who want to join AAP but dont give them ticket atleast 5yr AamAadmiParty"|"newmukh"
"Thu Dec 26 111421 0000 2013"|"i think we should welcome all the good people from all party who want to join AAP but dont give them ticket atleast 5yr AamAadmiParty"|"newmukh"
"Thu Dec 26 111420 0000 2013"|"AamAadmiParty thnx to make party in delhi nd to surve kejrival service to aam janta"|"kshitijb8"
"Thu Dec 26 111416 0000 2013"|"AamAadmiParty So want to be 18 just to vote for Kejriwal"|"SiddharthSahora"
"Thu Dec 26 111414 0000 2013"|"AAP if youll help mediatek users then also help us We want source of stEricsson novathor U8500 chipset AamAadmiParty CyanogenMod"|"techhahn"
"Thu Dec 26 111409 0000 2013"|"RT udaykatoch09 Anybody from Himachal who want 2 be part of AamAadmiPartys WhatsApp Pulse group  Pls send u r number amp dist Name"|"Odisha75"
"Thu Dec 26 111402 0000 2013"|"aamaadmiparty  how much fees will be therw foe ticket"|"gurukripa2me"
"Thu Dec 26 111402 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"gandhi18581"
"Thu Dec 26 111356 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"gandhi18581"
"Thu Dec 26 111346 0000 2013"|"AamAadmiParty Pehele dilli chalou we vl see in 2019 Dont be in so hurry"|"msmatoria"
"Thu Dec 26 111339 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"sippy316"
"Thu Dec 26 111319 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"AAPkaSanthosh"
"Thu Dec 26 111312 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"santoshchaudhri"
"Thu Dec 26 111311 0000 2013"|"Check out the real face of AamAadmiParty the puppets of WithCongress  Indians httptcoNalXU2yerw"|"manujeevanp"
"Thu Dec 26 111311 0000 2013"|"RT JoinAAP AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 httptcoKc7GW9QlV3"|"JavedKarbari"
"Thu Dec 26 111307 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"AAPkiSarkar"
"Thu Dec 26 111251 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"pankajnayyar21"
"Thu Dec 26 111241 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"mahesh12688"
"Thu Dec 26 111234 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"ChaloDelhi"
"Thu Dec 26 111221 0000 2013"|"RT AnilThakurAap AamAadmiParty  releases Form forGeneral Elections 2014 Do you want to fight from your LS httptcosMELK0bGA1"|"meetvpatel"
"Thu Dec 26 111208 0000 2013"|"RT AnilThakurAap AamAadmiParty  releases Form forGeneral Elections 2014 Do you want to fight from your LS httptcosMELK0bGA1"|"manishxing"
"Thu Dec 26 111206 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"ViveKumar"
"Thu Dec 26 111200 0000 2013"|"RT AnilThakurAap AamAadmiParty  releases Form forGeneral Elections 2014 Do you want to fight from your LS httptcosMELK0bGA1"|"aman9763"
"Thu Dec 26 111155 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"Vikrantaap"
"Thu Dec 26 111153 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"tapandalai"
"Thu Dec 26 111148 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"DeepakDutt10"
"Thu Dec 26 111147 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"theRohitBansal"
"Thu Dec 26 111145 0000 2013"|"TOIIndiaNews AamAadmiParty Can a poor  socially backward or minority class indian ever get justice or be treated fairly in India"|"MaryCollina"
"Thu Dec 26 111142 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"amarsinghshinde"
"Thu Dec 26 111127 0000 2013"|"RT jainkamal22 bharatbuilder AamAadmiParty LambaAlka control  Dont b in hurry  She will work as volunteer"|"Impres78"
"Thu Dec 26 111127 0000 2013"|"RT AKForPM It shud b AAP style Let AamAadmiParty or JoinAAP put up 2 qstns RT if u want Alka Lamba in AAP and RT for Not Public is "|"hallagullaboy"
"Thu Dec 26 111124 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"JavedKarbari"
"Thu Dec 26 111118 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"NPDay"
"Thu Dec 26 111117 0000 2013"|"AamAadmiParty  releases Form forGeneral Elections 2014 Do you want to fight from your LS httptcosMELK0bGA1"|"AnilThakurAap"
"Thu Dec 26 111116 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoZuAuaqDNkD"|"manojsuniya"
"Thu Dec 26 111114 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"BreakiNews"
"Thu Dec 26 111105 0000 2013"|"AamAadmiParty You have chosen to travel on a path that the political parties since Independence have forgotten Gr8 for Indians"|"1dineshbhatia"
"Thu Dec 26 111055 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"JavedKarbari"
"Thu Dec 26 111041 0000 2013"|"AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoycmWeDIPZk "|"KhanRajem"
"Thu Dec 26 111037 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"AamAadmiParty12"
"Thu Dec 26 111037 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"AamAadmiParty12"
"Thu Dec 26 111029 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"gopaljalwal"
"Thu Dec 26 111019 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"rakesh710"
"Thu Dec 26 111012 0000 2013"|"RT JoinAAP AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 httptcoKc7GW9QlV3"|"VishalMohan"
"Thu Dec 26 111011 0000 2013"|"AndrewBuncombe ArvindKejriwal AamAadmiParty I remembr when Ak said COng BJP as Husband Wife  now AAP Govt with Cong suprt"|"abc39991425"
"Thu Dec 26 111008 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"sidtanwani"
"Thu Dec 26 111000 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"CONBJPbhaibhai"
"Thu Dec 26 110954 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"rachitagg5"
"Thu Dec 26 110952 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"aapkask"
"Thu Dec 26 110941 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"ReclaimBharat"
"Thu Dec 26 110939 0000 2013"|"RT tribuneblogs Sapan Kapoor says The AamAadmiParty is good news for democracy in India httptcoHvVWtRxsVe Pakistan httptco"|"RMohamedali"
"Thu Dec 26 110936 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"Ajaykumar265"
"Thu Dec 26 110927 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"ParimalMS"
"Thu Dec 26 110921 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"manishxing"
"Thu Dec 26 110918 0000 2013"|"AAP invites nominations for LokSabha 2014 elections LS2014 Link to form httptco0vX7pjurvI "|"Amitjanhit"
"Thu Dec 26 110915 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"infomubashir"
"Thu Dec 26 110915 0000 2013"|"RT ankitlal The nomination form for LS2014 similar to one issued for Delhi2013 has been issued Will b available on AAP website nd pa"|"AamAadmiParty"
"Thu Dec 26 110912 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"DharmBeniwal"
"Thu Dec 26 110909 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"meetvpatel"
"Thu Dec 26 110907 0000 2013"|"AKForPM AamAadmiParty JoinAAP welcome her but no APP ticket in General Election she need AAM ADMI TRAINING FOR FEW YEAR"|"solankimk"
"Thu Dec 26 110904 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"srininamineni"
"Thu Dec 26 110900 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"laxitparsana"
"Thu Dec 26 110846 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"kunalwonder"
"Thu Dec 26 110845 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"bangles65"
"Thu Dec 26 110844 0000 2013"|"Swamy39 HM r investigate AamAadmiParty is very goodBut Why not BJPCONG and other parties investigation  Why Why WHY  Whats the wrong"|"hapithinknew"
"Thu Dec 26 110842 0000 2013"|"JoinAAP AamAadmiParty Select qualified and without any criminal records persons to contest the elections"|"nkrrathi"
"Thu Dec 26 110842 0000 2013"|"AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcotsAGsuwUFA"|"sidtanwani"
"Thu Dec 26 110840 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"kunalwonder"
"Thu Dec 26 110821 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"AAPtivists"
"Thu Dec 26 110818 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"ReclaimBharat"
"Thu Dec 26 110811 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"Ajaykumar265"
"Thu Dec 26 110759 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"Ishannarang"
"Thu Dec 26 110751 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"tweet201213"
"Thu Dec 26 110749 0000 2013"|"Anna Hazares  falls at the feet of a criminal guru httptcodBQwpi8KQJ   ArvindKejriwal AapYogendra AamAadmiParty"|"DevNiw"
"Thu Dec 26 110747 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"DharmBeniwal"
"Thu Dec 26 110741 0000 2013"|"AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"AamAadmiParty"
"Thu Dec 26 110738 0000 2013"|"RT JoinAAP AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 httptcoKc7GW9QlV3"|"manishxing"
"Thu Dec 26 110736 0000 2013"|"RT Donkeyji Arvind on honest IAS We would give such officers good position in our government and take their help to make strategies A"|"bcchristopher"
"Thu Dec 26 110727 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"sameergupta84"
"Thu Dec 26 110725 0000 2013"|"RT gauravlavania ArvindKejriwal msisodia shaziailmi Perhaps AamAadmiParty shud consider having Speaker from JDU or BJP or the lone "|"Bgiridharr"
"Thu Dec 26 110710 0000 2013"|"AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"ankitlal"
"Thu Dec 26 110653 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"Vikrantaap"
"Thu Dec 26 110644 0000 2013"|"Such an emotional piece of video Humanity is killed for Votes httptcoZ4ArGrhojn narendramodi AamAadmiParty INCIndia ankitlal"|"KuldeepKadyan"
"Thu Dec 26 110639 0000 2013"|"RT deepaksingh83 Positive News for AamAadmiParty Delhi had a revenue surplus of 9713 crores httptco6WpEUrX6Oa"|"amarsinghguruji"
"Thu Dec 26 110634 0000 2013"|"AAPtivists AamAadmiParty jai A A Palso  I am am admi party volontier"|"ashrafek"
"Thu Dec 26 110605 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"AamAadmiPune"
"Thu Dec 26 110534 0000 2013"|"RT deepaksingh83 Positive News for AamAadmiParty Delhi had a revenue surplus of 9713 crores httptco6WpEUrX6Oa"|"bcchristopher"
"Thu Dec 26 110532 0000 2013"|"RT rajrindani In other 29 Assemblies the CM is Chief Minister but in Delhi the CM is a Common Man ArvindKejriwal AamAadmiParty"|"AamAadmiPune"
"Thu Dec 26 110524 0000 2013"|"RT JoinAAP AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 httptcoKc7GW9QlV3"|"AamAadmiParty12"
"Thu Dec 26 110524 0000 2013"|"RT AKForPM It shud b AAP style Let AamAadmiParty or JoinAAP put up 2 qstns RT if u want Alka Lamba in AAP and RT for Not Public is "|"AamAadmiParty12"
"Thu Dec 26 110516 0000 2013"|"RT JoinAAP AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 httptcoKc7GW9QlV3"|"sidtanwani"
"Thu Dec 26 110504 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"SAMRAT55"
"Thu Dec 26 110456 0000 2013"|"AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 httptcoKc7GW9QlV3"|"JoinAAP"
"Thu Dec 26 110439 0000 2013"|"RT jainkamal22 bharatbuilder AamAadmiParty LambaAlka control  Dont b in hurry  She will work as volunteer"|"dramoly"
"Thu Dec 26 110432 0000 2013"|"AKForPM AamAadmiParty JoinAAP if she wish to work as volunteer she need to prove herself first I guess thts all we would need"|"ankurs7"
"Thu Dec 26 110426 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"AamAadmiPune"
"Thu Dec 26 110415 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"Djjpn"
"Thu Dec 26 110348 0000 2013"|"JoinAAP AamAdmiParty AamAadmiParty URL of video"|"manishxing"
"Thu Dec 26 110345 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"pankajnayyar21"
"Thu Dec 26 110331 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"pankajnayyar21"
"Thu Dec 26 110329 0000 2013"|"RT monsun14 Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"dinniethegreat"
"Thu Dec 26 110329 0000 2013"|"RT monsun14 Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"dinniethegreat"
"Thu Dec 26 110257 0000 2013"|"Dear AamAadmiParty when u will dig files of CWG amp Kalmadi somewhere there this Alka Lamba ladys name is going to come out Take my word"|"JohnRayhan"
"Thu Dec 26 110252 0000 2013"|"aamirkhan AamAadmiParty  I would like to request to Mr Aamir Khan to JoinAAP for betterment of our country"|"ankursahrawat0"
"Thu Dec 26 110240 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"solankimk"
"Thu Dec 26 110233 0000 2013"|"RT AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"solankimk"
"Thu Dec 26 110232 0000 2013"|"RT adityapranav ideacellular TV Ad referring to AamAadmiPartys referendum in Delhi What an Idea SirJi httptcoh1wWZK32qO   Id"|"CONBJPbhaibhai"
"Thu Dec 26 110225 0000 2013"|"RT monsun14 Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"crguna"
"Thu Dec 26 110156 0000 2013"|"amarjitkapur AamAadmiParty That we agree on  the test is now on AAP  can they deliver or not"|"kdudakia"
"Thu Dec 26 110147 0000 2013"|"AamAadmiParty I dont think its a good move to take Alka Lamba into party"|"amitprs2003"
"Thu Dec 26 110137 0000 2013"|"Rinjithbhaskar AamAdmy AamAadmiParty and 363rd option is to reject all"|"myideaofIndia"
"Thu Dec 26 110118 0000 2013"|"RT HirenGokani A must see survey by TV9 Gujrati that was telecasted yesterday that shows Girls are nt safe in public trsport in Ahemdab"|"jaypn2009"
"Thu Dec 26 110105 0000 2013"|"A must see survey by TV9 Gujrati that was telecasted yesterday that shows Girls are nt safe in public trsport in Ahemdabad  AamAadmiParty"|"HirenGokani"
"Thu Dec 26 110053 0000 2013"|"Rinjithbhaskar AamAdmy AamAadmiParty Y because it goes with USP of AAP otherwise I am having 362 options to vote for did you get me"|"myideaofIndia"
"Thu Dec 26 110048 0000 2013"|"RT adityapranav ideacellular TV Ad referring to AamAadmiPartys referendum in Delhi What an Idea SirJi httptcoh1wWZK32qO   Id"|"commonman"
"Thu Dec 26 110046 0000 2013"|"It shud b AAP style Let AamAadmiParty or JoinAAP put up 2 qstns RT if u want Alka Lamba in AAP and RT for Not Public is well wisher"|"AKForPM"
"Thu Dec 26 110046 0000 2013"|"AamAdmiParty JoinAAP AamAadmiParty link please"|"manavjainWLG"
"Thu Dec 26 110037 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"commonman"
"Thu Dec 26 110028 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"manojsuniya"
"Thu Dec 26 110028 0000 2013"|"RT Suneel4AAP Congress fears probe against leaders  timesnow httptcowDaxJplU4v AamAadmiParty JoinAAP bcchristopher DrKumarVis"|"bcchristopher"
"Thu Dec 26 110009 0000 2013"|"AamAadmiParty holding a press conference just now "|"AnilThakurAap"
"Thu Dec 26 105958 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"AamAadmiParty12"
"Thu Dec 26 105928 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"anu77anu"
"Thu Dec 26 105922 0000 2013"|"After Alka Lamba Now its Teena Sharma Delhi BJP leader quits BJP  and joins AamAadmiParty"|"AAPThane"
"Thu Dec 26 105917 0000 2013"|"AamAadmiParty Now a BJP leader Teena Sharma quits BJP joins AAP LambaAlka quits cong JoinAap Kya kamal kiya hai ye Jhadu ne"|"guptarpulse"
"Thu Dec 26 105902 0000 2013"|"myideaofIndia AamAdmy They should But what I ask is WHY ONLY AamAadmiParty "|"Rinjithbhaskar"
"Thu Dec 26 105900 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"ImNeeraj"
"Thu Dec 26 105859 0000 2013"|"How many times have I told u But still some idiots dont understand  No deepikapadukone ModernSridevi will never join AamAadmiParty  "|"astoic"
"Thu Dec 26 105846 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"manindar100yaho"
"Thu Dec 26 105845 0000 2013"|"RT AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"Aapfans1"
"Thu Dec 26 105840 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"AapDeepaktomar"
"Thu Dec 26 105839 0000 2013"|"AamAadmiParty  I join this party"|"D11925980"
"Thu Dec 26 105832 0000 2013"|"AamAdmiParty Ikumar7 AamAadmiParty pls send link to watch this PC"|"AKisHope"
"Thu Dec 26 105825 0000 2013"|"AAP Delhi cabinet minister washing utensils her self  AamAadmiParty httptco43FKFgLeHO"|"kunalwonder"
"Thu Dec 26 105809 0000 2013"|"guptarpulse why she was in BJP in the first place AamAadmiParty"|"harindranath"
"Thu Dec 26 105807 0000 2013"|"AamAdmiParty Ikumar7 livestream  AamAadmiParty"|"mangoe60"
"Thu Dec 26 105805 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"jyotikarun"
"Thu Dec 26 105805 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"manavjainWLG"
"Thu Dec 26 105801 0000 2013"|"RT AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"manavjainWLG"
"Thu Dec 26 105743 0000 2013"|"RT AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"JoinAAP"
"Thu Dec 26 105739 0000 2013"|"This is an organization of Aam Aadmi and there should not be any place for political boot lickers AamAadmiParty"|"JohnRayhan"
"Thu Dec 26 105739 0000 2013"|"AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"JoinAAP"
"Thu Dec 26 105729 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"TheBlazingIndia"
"Thu Dec 26 105704 0000 2013"|"After Alka Lamba Now its Teena Sharma Delhi BJP leader quits BJP  and joins AamAadmiParty"|"Rinjithbhaskar"
"Thu Dec 26 105651 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"ChaloDelhi"
"Thu Dec 26 105637 0000 2013"|"RT AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"Ikumar7"
"Thu Dec 26 105618 0000 2013"|"diptosh All too obvious  a threatened Congress is abusing all its powers to gun for AamAadmiParty"|"MarishaThakur"
"Thu Dec 26 105610 0000 2013"|"bharatbuilder we all are members by our hearts Some on ground Some in wait for exact orderAamAadmiParty ArvindKejriwal DrKumarVishwas"|"TheBlazingIndia"
"Thu Dec 26 105609 0000 2013"|"kdudakia AamAadmiParty yes he has rightly accused them but well wait amp see what he does about corruption  once AAP has settled in"|"amarjitkapur"
"Thu Dec 26 105559 0000 2013"|"AamAadmiParty Now a BJP leader Teena Sharma quits BJP joins AAPKya kamal kiya hai ye Jhadu ne"|"sujeetsahu53"
